,Data do Anúncio,Ano,Trimestre,Data do Anúncio.1,Empresa alvo do investimento,Empresa(s) investidora(s),Real (em milhões),Dólar (em milhões),Valor Informado,Município,Região,Descrição do investimento,CNAE Empresa alvo do investimento,CNAE Empresa(s) investidora(s),Tipo Investimento,Período,Setor,Real,Dólar,FaixaValor,FaixaValorNome,SetorNome,RegiãoNro,klusterK3D,klusterBD3D
2318,2015-05-02,2015,1,2015-05-02,Sociedade de Abastecimento de Água e Saneamento - Sanasa,Sociedade de Abastecimento de Água e Saneamento - Sanasa,70.0,24.86,Sim,Campinas,RA Campinas,Construção de 23 reservatórios de água,"3600-6 - Captação, tratamento e distribuição de água",8211-3 - Serviços combinados de escritório e apoio administrativo,Implantação,2015 - 2016,5,70000000.0,24860000.0,5,G,Infraestrutura,5,1,5
2319,2015-02-19,2015,1,2015-02-19,Rota das Bandeiras,Concessionária Rota das Bandeiras S.A,43.9,15.59,Sim,Campinas,RA Campinas,Construção e remodelação do trevo do Galleria,"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados","5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados",Ampliação,2015 - 2016,5,43900000.0,15590000.0,5,G,Infraestrutura,5,1,5
2320,2015-02-03,2015,1,2015-02-03,Rota das Bandeiras,Concessionária Rota das Bandeiras S.A,3.2,1.02,Sim,Campinas,RA Campinas,Construção de duas passarelas na rodovia Prof. Zeferino Vaz (SP-332) nos km 117 e 119,"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados",6462-0 - Holdings de instituições não-financeiras,Implantação,2012 - 2015,5,3200000.0,1020000.0,3,M,Infraestrutura,5,0,2
2321,2015-03-13,2015,1,2015-03-13,Rota das Bandeiras,Concessionária Rota das Bandeiras S.A,29.6,9.43,Sim,Campinas,RA Campinas,"Ampliação e renovação do Trevo dos Amarais, no km 143 da rodovia D. Pedro I (SP-065).","5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados",6462-0 - Holdings de instituições não-financeiras,Ampliação/Modernização,2015 - 2016,5,29600000.0,9430000.0,5,G,Infraestrutura,5,1,5
2322,2015-03-01,2015,1,2015-03-01,Aeroporto Internacional de Viracopos,Aeroportos Brasil Viracopos,273.0,103.65,Sim,Campinas,RA Campinas,Instalação de áreas para hangares de manutenção de aeronaves e  para armazenagem de cargas,5240-1 - Atividades auxiliares dos transportes aéreos,5240-1 - Atividades auxiliares dos transportes aéreos,Ampliação,2015 - 2016,5,273000000.0,103650000.0,7,GG,Infraestrutura,5,1,8
2323,2015-03-23,2015,1,2015-03-23,Aeroporto Internacional de Viracopos,Aeroportos Brasil Viracopos / Brinks Segurança e Transporte de Valores,10.0,3.19,Sim,Campinas,RA Campinas,Construção e operação de uma estrutura de segurança especial dentro do Terminal de Cargas - Teca.,5240-1 - Atividades auxiliares dos transportes aéreos,5240-1 - Atividades auxiliares dos transportes aéreos,Ampliação/Modernização,2015 - 2016,5,10000000.0,3190000.0,5,G,Infraestrutura,5,1,5
2324,2015-03-20,2015,1,2015-03-20,EMTU,Empresa Metropolitana de Transportes Urbanos de São Paulo - EMTU,79.8,25.42,Sim,Diversos municípios-RGCampinas,RA Campinas,Construção de corredor de ônibus na região metropolitana de Campinas,"4921-3 - Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana","4921-3 - Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana",Ampliação,2015 - 2017,5,79800000.0,25420000.0,5,G,Infraestrutura,5,1,5
2325,2015-03-19,2015,1,2015-03-19,Rodovias do Tietê,Concessionária Rodovias do Tietê,80.0,25.48,Sim,Diversos municípios-RGPiracicaba,RA Campinas,"Duplicação e construção de seis dispositivos da rodovia do Açúcar - Comendador Mário Dedini,SP-308","5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados","5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados",Ampliação,2012 - 2015,5,80000000.0,25480000.0,5,G,Infraestrutura,5,1,5
2326,2015-10-03,2015,1,2015-10-03,Vedacit,Otto Baumgart indústria e Comércio,100.0,31.86,Sim,Itatiba,RA Campinas,Inauguração de fabrica de mantas asfálticas.,"2073-8 - Fabricação de impermeabilizantes, solventes e produtos afins","2073-8 - Fabricação de impermeabilizantes, solventes e produtos afins",Implantação,2014 - 2015,3,100000000.0,31860000.0,7,GG,Indústria,5,3,17
2327,2015-03-26,2015,1,2015-03-26,Rota das Bandeiras,Concessionária Rota das Bandeiras S.A,1.0,0.32,Sim,Itatiba,RA Campinas,Inauguração de central de triagem de material reciclável,3811-4 - Coleta de resíduos não-perigosos,"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados",Implantação,2013 - 2015,5,1000000.0,320000.0,3,M,Infraestrutura,5,0,2
