,Data do Anúncio,Ano,Trimestre,Data do Anúncio.1,Empresa alvo do investimento,Empresa(s) investidora(s),Real (em milhões),Dólar (em milhões),Valor Informado,Município,Região,Descrição do investimento,CNAE Empresa alvo do investimento,CNAE Empresa(s) investidora(s),Tipo Investimento,Período,Setor,Real,Dólar,FaixaValor,FaixaValorNome,SetorNome,RegiãoNro,klusterK3D,klusterBD3D
0,2020-07-17,2020,3,2020-07-17,Cooperativa de Consumo - Coop,Cooperativa de Consumo - Coop,2.0,0.38,Sim,Inter-regionais,Inter-regionais,"Instalação drogaria com venda de medicamentos e perfumaria, 21 unidades no Estado de São Paulo",4771-7 - Comércio varejista de produtos farmacêuticos para uso humano e veterinário,"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",Implantação,... - 2020,1,2000000.0,380000.0,3,M,Comércio,3,2,0
1,2020-07-20,2020,3,2020-07-20,Tereos,Tereos Açúcar e Energia Brasil,1.3,0.25,Sim,Inter-regionais,Inter-regionais,"Instalação projeto G.O.T.A Gerenciamento, Otimização e Tratamento de Água que possibilita a diminuição da captação do recurso dos rios e poços e retorno da água à natureza livre de qualquer impureza",1071-6 - Fabricação de açúcar em bruto,1071-6 - Fabricação de açúcar em bruto,Implantação,2019 - 2024,3,1300000.0,250000.0,3,M,Indústria,3,2,1
2,2020-06-08,2020,3,2020-06-08,EDP São Paulo,EDP São Paulo Distribuição de Energia,6.4,1.17,Sim,Inter-regionais,Inter-regionais,"Implantação projeto  o Programa de Eficiência Energética, no Senai de Guarulhos, Etec de Cruzeiro e Hospital Santa Casa de Pindamonhangaba, serão beneficiadas com a substituição de lâmpadas em suas instalações internas",3514-0 - Distribuição de energia elétrica,3514-0 - Distribuição de energia elétrica,Ampliação,2020 - ...,5,6400000.0,1170000.0,3,M,Infraestrutura,3,0,2
3,2020-09-18,2020,3,2020-09-18,Acqualinda,Thermas Acqualinda,500.0,92.61,Sim,Andradina,RA Araçatuba,"Construção parque  aquático o parque estará inserido em uma terra primitiva, tribos ancestrais convivem com alienígenas com tecnologia futurística (complemento ficha 4895 )",9321-2 - Parques de diversão e parques temáticos,9321-2 - Parques de diversão e parques temáticos,Implantação,2019 - 2021,7,500000000.0,92610000.0,7,GG,Serviços,19,1,3
4,2020-10-08,2020,3,2020-10-08,Santa Casa de Araçatuba,Santa Casa de Misericórdia de Araçatuba,8.0,1.46,Sim,Araçatuba,RA Araçatuba,Ampliação e modernização complexo hospitalar,8610-1 - Atividades de atendimento hospitalar,8610-1 - Atividades de atendimento hospitalar,Implantação,... - 2020,7,8000000.0,1460000.0,3,M,Serviços,19,0,4
5,2020-08-18,2020,3,2020-08-18,Soluções Ambientais de Araçatuba - Samar,Soluções Ambientais de Araçatuba - Samar,34.0,6.23,Sim,Araçatuba,RA Araçatuba,"Construção Estação e Tratamento de Água, a ETA 4, que será construída às margens do Ribeirão Baguaça","3600-6 - Captação, tratamento e distribuição de água","3600-6 - Captação, tratamento e distribuição de água",Ampliação,2020 - 2022,5,34000000.0,6230000.0,5,G,Infraestrutura,19,1,5
6,2020-09-21,2020,3,2020-09-21,Usina Diana,Destilataria de Álcool Nova Avanhandava - Diana,42.17,7.81,Sim,Avanhandava,RA Araçatuba,"Compra tratores e transbordos para colheita de cana, reforma da caldeira e reformou 70% do canavial próprio",0113-0 - Cultivo de cana-de-açúcar,1931-4 - Fabricação de álcool,Ampliação,2019 - 2020,9,42170000.0,7810000.0,5,G,Outros,19,1,6
7,2020-12-08,2020,3,2020-12-08,Burger King,BK Brasil Operação e Assessoria a Restaurantes,2.5,0.46,Sim,Birigui,RA Araçatuba,Inauguração restaurante fast food de hambúrgueres  na Avenida João Cernach esquina com a Rua Dr. Artur Cordeiro,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,Implantação,... - 2020,7,2500000.0,460000.0,3,M,Serviços,19,0,4
8,2020-07-07,2020,3,2020-07-07,JBS,JBS,91.0,17.24,Sim,Guaiçara,RA Bauru,Instalação fábrica de fertilizantes,2013-4 - Fabricação de adubos e fertilizantes,4729-6 - Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo,Implantação,... - 2021,3,91000000.0,17240000.0,5,G,Indústria,11,3,7
9,2020-09-17,2020,3,2020-09-17,Eternit,Eternit,5.8,1.07,Sim,Atibaia,RA Campinas,Instalação Linha de produção e desemvolvimento de telha de concreto fotovoltaica,"2710-4 - Fabricação de geradores, transformadores e motores elétricos","2330-3 - Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",Implantação,2019 - 2019,3,5800000.0,1070000.0,3,M,Indústria,5,2,1
10,2020-07-22,2020,3,2020-07-22,Beepbeep Mobilidade,Beepbeep Soluções em Mobilidade e Tecnologia,6.0,1.14,Sim,Campinas,RA Campinas,Inauguração Estação no Aeroporto Internacional de Viracopos delocação de automóveis elétricos sem condutor,7711-0 - Locação de automóveis sem condutor,7711-0 - Locação de automóveis sem condutor,Implantação,2019 - 2020,7,6000000.0,1140000.0,3,M,Serviços,5,0,4
11,2020-08-08,2020,3,2020-08-08,BYD,BYD do Brasil,7.0,1.28,Sim,Campinas,RA Campinas,Inauguração usina fotovoltaica dedicada à pesquisa e desenvolvimento,7210-0 - Pesquisa e desenvolvimento experimental em ciências físicas e naturais,4511-1 - Comércio a varejo e por atacado de veículos automotores,Implantação,2020 - 2020,7,7000000.0,1280000.0,3,M,Serviços,5,0,4
12,2020-09-14,2020,3,2020-09-14,Rota das Bandeiras,Concessionária Rota das Bandeiras,186.8,34.6,Sim,Campinas,RA Campinas,Implantação marginais  e remodelação dos dispositivos na rodovia D. Pedro I (SP-065),"5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados","5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados",Ampliação,2020 - 2020,5,186800000.0,34600000.0,7,GG,Infraestrutura,5,1,8
13,2020-09-24,2020,3,2020-09-24,Rota das Bandeiras,Concessionária Rota das Bandeiras,16.7,3.09,Sim,Jundiaí,RA Campinas,"Duplicação rodovia trecho de 2,4 km da rodovia João Cereser (SP-360)","5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados","5221-4 - Concessionárias de rodovias, pontes, túneis e serviços relacionados",Ampliação,2020 - 2020,5,16700000.0,3090000.0,5,G,Infraestrutura,5,1,5
14,2020-05-08,2020,3,2020-05-08,CPFL Paulista,Companhia Paulista de Força e Luz,11.0,2.01,Sim,Sumaré,RA Campinas,"Construção subestação de energia com sete alimentadores, além de promover a modernização e automatização da rede elétrica",3512-3 - Transmissão de energia elétrica,3514-0 - Distribuição de energia elétrica,Ampliação,2020 - 2021,5,11000000.0,2010000.0,5,G,Infraestrutura,5,1,5
15,2020-07-08,2020,3,2020-07-08,Capricornio Coffees,Exportadora Capricornio Coffees,5.0,0.92,Sim,Ourinhos,RA Marília,Instalação empresa  beneficiadora de café para produção e armazém,1081-3 - Torrefação e moagem de café,4621-4 - Comércio atacadista de café em grão,Implantação,2020 - 2020,3,5000000.0,920000.0,3,M,Indústria,29,2,9
16,2020-08-26,2020,3,2020-08-26,JBS,JBS,180.0,32.96,Sim,Presidente Epitácio,RA Presidente Prudente,Construção fábrica de peptídeos de colágeno bioativos e gelatina,1099-6 - Fabricação de produtos alimentícios não especificados anteriormente,"1011-2 - Abate de reses, exceto suínos",Implantação,2020 - 2021,3,180000000.0,32960000.0,7,GG,Indústria,33,3,10
17,2020-08-26,2020,3,2020-08-26,JBS,JBS,100.0,18.31,Sim,Presidente Epitácio,RA Presidente Prudente,"Implantação fábrica de produção de heparina, anticoagulante extraída da mucosa intestinal de porcos e bois, e um entreposto",2110-6 - Fabricação de produtos farmoquímicos,"1011-2 - Abate de reses, exceto suínos",Implantação,2020 - 2023,3,100000000.0,18310000.0,7,GG,Indústria,33,3,10
18,2020-07-29,2020,3,2020-07-29,Solar PP,Douglas da Silva Andrade,0.22,0.04,Sim,Presidente Prudente,RA Presidente Prudente,"Implantação sede da empresa de instalação de sistema de geração de energia solar, fonte de energia pura, renovável e sustentável",4321-5 - Instalações elétricas,7319-0 - Atividades de publicidade não especificadas anteriormente,Implantação,2019 - 2020,5,220000.0,40000.0,1,P,Infraestrutura,33,0,11
19,2020-09-09,2020,3,2020-09-09,MRS Logística,MRS Logística,15.0,2.78,Sim,Cubatão,RA Santos,Construção viaduto  sobre a linha férrea,4911-6 - Transporte ferroviário de carga,4911-6 - Transporte ferroviário de carga,Implantação,2020 - ...,5,15000000.0,2780000.0,5,G,Infraestrutura,7,1,5
20,2020-08-21,2020,3,2020-08-21,Hospital Santa Clara,Hospital Santa Clara,1.2,0.22,Sim,Santos,RA Santos,"Reforma ala  do anexo, e tem 18 apartamentos, duas enfermarias e 22 leitos e compra de equipamento Magnetom Sempra, de ressonância magnética para o hospital",8610-1 - Atividades de atendimento hospitalar,8610-1 - Atividades de atendimento hospitalar,Ampliação/Modernização,2020 - 2020,7,1200000.0,220000.0,3,M,Serviços,7,0,4
21,2020-08-28,2020,3,2020-08-28,Eldorado Celulose,Eldorado Brasil Celulose,250.0,45.78,Sim,Santos,RA Santos,"Concessão manutenção , ampliação, modernização e adequar a área do arrendamento do lote STS14 no Porto de Santos",5231-1 - Gestão de portos e terminais,4930-2 - Transporte rodoviário de carga,Ampliação,2020 - 2045,5,250000000.0,45780000.0,7,GG,Infraestrutura,7,1,8
22,2020-08-26,2020,3,2020-08-26,Max Atacadista,Super Muffato,25.0,4.58,Sim,Catanduva,RA São José do Rio Preto,"Inauguração atacadista  de mercearia, alimentos, perecíveis, bazar, embalagens, higiene, bebidas e limpeza","4691-5 - Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios","4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",Implantação,... - 2020,1,25000000.0,4580000.0,5,G,Comércio,17,3,12
23,2020-09-15,2020,3,2020-09-15,Max Atacadista,Irmãos Muffato Cia.,35.0,6.48,Sim,Fernandópolis,RA São José do Rio Preto,"Construção atacado com varejo de mercearia, alimentos, perecíveis, bazar, embalagens, higiene, bebidas e limpeza na avenida Getúlio Vargas, às margens da SP-320","4691-5 - Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios","4691-5 - Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",Implantação,2020 - 2021,1,35000000.0,6480000.0,5,G,Comércio,17,3,12
24,2020-06-08,2020,3,2020-06-08,Saneamento de Palestina - Esap,Iguá Saneamento,2.0,0.37,Sim,Palestina,RA São José do Rio Preto,Inauguração Estação de Tratamento de Esgoto (ETE) no distrito de Jurupeba e construção do sistema de tratamento no distrito de Boturuna,3701-1 - Gestão de redes de esgoto,6462-0 - Holdings de instituições não-financeiras,Ampliação,2020 - 2020,5,2000000.0,370000.0,3,M,Infraestrutura,17,0,2
25,2020-07-22,2020,3,2020-07-22,Água de Cheiro,Água de Cheiro Distribuidora de Produtos,0.1,0.02,Sim,São José do Rio Preto,RA São José do Rio Preto,Reforma loja de cosméticos e perfumaria no Rio Preto Shopping,"4772-5 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal","2063-1 - Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",Ampliação,... - 2020,1,100000.0,20000.0,1,P,Comércio,17,2,13
26,2020-07-22,2020,3,2020-07-22,Havok Store,Havok Store,0.2,0.04,Sim,São José do Rio Preto,RA São José do Rio Preto,"Abertura loja de venda de celulares, especializada em produtos da marca Xiaomi",4752-1 - Comércio varejista especializado de equipamentos de telefonia e comunicação,4785-7 - Comércio varejista de artigos usados,Implantação,... - 2020,1,200000.0,40000.0,1,P,Comércio,17,2,13
27,2020-07-22,2020,3,2020-07-22,Unika,Unika,0.15,0.03,Sim,São José do Rio Preto,RA São José do Rio Preto,"Abertura loja de venda de bolsas, malas e mochilas no Plaza Avenida Shopping no Jardim Redentor",4782-2 - Comércio varejista de calçados e artigos de viagem,4782-2 - Comércio varejista de calçados e artigos de viagem,Implantação,... - 2020,1,150000.0,30000.0,1,P,Comércio,17,2,13
28,2020-07-22,2020,3,2020-07-22,Jeronimo Burger,Jeronimo Burger,4.5,0.85,Sim,São José do Rio Preto,RA São José do Rio Preto,"Abertura restaurante  franqueado  especializado em hambúrgueres, próximo à rodovia Washington Luís",5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,Implantação,... - 2020,7,4500000.0,850000.0,3,M,Serviços,17,0,4
29,2020-02-09,2020,3,2020-02-09,Poppys Smash Burgers,Poppys Smash Burgers Lanchonete,0.1,0.02,Sim,São José do Rio Preto,RA São José do Rio Preto,Abertura lanchonete tipo hamburgueria na avenida Bady Bassitt,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,Implantação,... - 2020,7,100000.0,20000.0,1,P,Serviços,17,0,14
30,2020-09-16,2020,3,2020-09-16,Centro Lyra Odontologia,Centro Lyra Odontologia,0.3,0.06,Sim,São José do Rio Preto,RA São José do Rio Preto,Compra equipamento para clínica odontológica,8630-5 - Atividades de atenção ambulatorial executadas por médicos e odontólogos,8630-5 - Atividades de atenção ambulatorial executadas por médicos e odontólogos,Implantação,... - 2020,7,300000.0,60000.0,1,P,Serviços,17,0,14
31,2020-09-30,2020,3,2020-09-30,Hotel Hilton Garden,HDauff Empreendimentos Imobiliários,70.0,12.96,Sim,São José do Rio Preto,RA São José do Rio Preto,Construção hotel  no Georgina Business Park na avenida Anísio Haddad,5510-8 - Hotéis e similares,4110-7 - Incorporação de empreendimentos imobiliários,Implantação,2020 - 2022,7,70000000.0,12960000.0,5,G,Serviços,17,1,15
32,2020-09-30,2020,3,2020-09-30,Divino Fogão,Divino Fogão,0.4,0.07,Sim,São José do Rio Preto,RA São José do Rio Preto,"Reforma restaurante franqueado,  no cardápio, pizzas, sushi e churrasco no Riopreto Shopping",5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,Ampliação/Modernização,2020 - 2020,7,400000.0,70000.0,1,P,Serviços,17,0,14
33,2020-08-30,2020,3,2020-08-30,Restaurante Toriba,Hotel Toriba,0.5,0.09,Sim,Campos do Jordão,RA São José dos Campos,"Inauguração restaurante  num vagão de trem, com deque para uma vista espetacular da Serra da Mantiqueira",5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,5510-8 - Hotéis e similares,Implantação,2019 - 2019,1,500000.0,90000.0,1,P,Comércio,9,2,13
34,2020-03-07,2020,3,2020-03-07,Sabesp,Cia. de Saneamento Básico do Estado de São Paulo,687.0,130.12,Sim,Ubatuba,RA São José dos Campos,"Concessão manutenção ampliação, modernização do serviço de abastecimento de água e tratamento de esgoto, por 30 anos","3600-6 - Captação, tratamento e distribuição de água","3600-6 - Captação, tratamento e distribuição de água",Ampliação,2020 - 2050,5,687000000.0,130120000.0,7,GG,Infraestrutura,9,1,8
35,2020-07-31,2020,3,2020-07-31,Colégio Politécnico Sorocaba,Colégio Politécnico Sorocaba,1.5,0.28,Sim,Sorocaba,RA Sorocaba,"Ampliação escola de ensino técnico, fundamental e médio, 5 salas",8541-4 - Educação profissional de nível técnico,8513-9 - Ensino fundamental,Implantação,2020 - 2020,7,1500000.0,280000.0,3,M,Serviços,13,0,4
36,2020-10-09,2020,3,2020-10-09,Rede Bom Lugar,Rede Bom Lugar,2.0,0.37,Sim,Sorocaba,RA Sorocaba,"Inauguração supermercado  varejista de mercadorias em geral, com predominância de produtos alimentícios avenida Independência","4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados","4693-1 - Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",Implantação,2020 - 2020,1,2000000.0,370000.0,3,M,Comércio,13,2,0
37,2020-09-23,2020,3,2020-09-23,Sorvetes Verão Vivo,Sorvete Verão Vivo,10.0,1.85,Sim,Sorocaba,RA Sorocaba,"Instalação fábrica de sorvetes na avenida Comendador Camilo Júlio, na zona industria",1053-8 - Fabricação de sorvetes e outros gelados comestíveis,1053-8 - Fabricação de sorvetes e outros gelados comestíveis,Implantação,... - 2020,3,10000000.0,1850000.0,5,G,Indústria,13,3,7
38,2020-09-27,2020,3,2020-09-27,Nativas Grill Churrascaria,Nativas Grill Churrascaria,2.0,0.37,Sim,Sorocaba,RA Sorocaba,"Abertura restaurante  especializado em churrasco, na Av. São Paulo, 4520",5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,Implantação,2020 - 2020,7,2000000.0,370000.0,3,M,Serviços,13,0,4
39,2020-02-08,2020,3,2020-02-08,Bandeiras Centro Empresarial,Bandeiras Centro Empresarial,5.0,0.92,Sim,Votorantim,RA Sorocaba,"Ampliação sistema(s) tecnológicos de monitoramento, controle de acesso e portaria 24 horas",6822-6 - Gestão e administração da propriedade imobiliária,"6209-1 - Suporte técnico, manutenção e outros serviços em tecnologia da informação",Implantação,... - 2020,7,5000000.0,920000.0,3,M,Serviços,13,0,4
40,2020-01-09,2020,3,2020-01-09,CPTM,Companhia Paulista de Trens Metropolitanos,160.0,29.63,Sim,Francisco Morato,RM São Paulo,"Reforma Estação ferroviária Francisco Morato da linha 7 Rubi, são três plataformas, além de elevadores, escadas rolantes, câmeras de segurança e banheiros",4912-4 - Transporte metroferroviário de passageiros,4912-4 - Transporte metroferroviário de passageiros,Ampliação,2020 - 2020,5,160000000.0,29630000.0,7,GG,Infraestrutura,1,1,8
41,2020-02-07,2020,3,2020-02-07,Maia Coworking,Maia Negócios e Treinamento,0.7,0.13,Sim,Guarulhos,RM São Paulo,Inauguração espaço coworking dentro do Parque Shopping Maia,8211-3 - Serviços combinados de escritório e apoio administrativo,8211-3 - Serviços combinados de escritório e apoio administrativo,Implantação,2020 - 2020,7,700000.0,130000.0,1,P,Serviços,1,0,14
42,2020-05-08,2020,3,2020-05-08,Braspress,Braspress Transportes Urgentes,105.0,19.23,Sim,Guarulhos,RM São Paulo,Ampliação empresa especializada em transporte de encomendas com a compra de 235 caminhões da marca Mercedes Benz,4930-2 - Transporte rodoviário de carga,4930-2 - Transporte rodoviário de carga,Ampliação,2020 - 2020,5,105000000.0,19230000.0,7,GG,Infraestrutura,1,1,8
43,2020-03-09,2020,3,2020-03-09,Smart Outlets,Iron Capital Gestão de Recursos,200.0,37.04,Sim,Guarulhos,RM São Paulo,"Inauguração Shopping Center com um mix de marcas de moda masculina, feminina, infantil, artigos esportivos, acessórios e artigos para a casa",6822-6 - Gestão e administração da propriedade imobiliária,6630-4 - Atividades de administração de fundos por contrato ou comissão,Implantação,2019 - 2020,7,200000000.0,37040000.0,7,GG,Serviços,1,1,16
44,2020-08-26,2020,3,2020-08-26,Vamos,Vamos Locação de Caminhões e Equipamentos,1000.0,183.12,Sim,Mogi das Cruzes,RM São Paulo,"Compra caminhão(ões) Volkswagen, 2350 unidades para locadoraI de caminhões, máquinas e equipamentos","7719-5 - Locação de meios de transporte, exceto automóveis, sem condutor",7711-0 - Locação de automóveis sem condutor,Ampliação,2020 - 2020,7,1000000000.0,183120000.0,7,GG,Serviços,1,1,16
45,2020-07-31,2020,3,2020-07-31,Solar Group,Solar Group do Brasil,19.0,3.6,Sim,Santana de Parnaíba,RM São Paulo,Inauguração fábrica especializada em sistemas de fixação para o mercado de energia solar,2599-3 - Fabricação de produtos de metal não especificados anteriormente,2449-1 - Metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente,Implantação,... - 2020,3,19000000.0,3600000.0,5,G,Indústria,1,3,7
46,2020-08-22,2020,3,2020-08-22,Pelle & Capelli,Pelle & Capelli Instituto de Estética e Beleza,0.7,0.13,Sim,Santo André,RM São Paulo,"Inauguração Centro de tratamentos, serviços e procedimentos estéticos na Rua Siqueira Campos",9602-5 - Cabeleireiros e outras atividades de tratamento de beleza,9602-5 - Cabeleireiros e outras atividades de tratamento de beleza,Ampliação,... - 2020,7,700000.0,130000.0,1,P,Serviços,1,0,14
47,2020-06-09,2020,3,2020-06-09,MBigucci,M Bigucci Comércio e Empreendimentos Imobiliários,13.04,2.42,Sim,Santo André,RM São Paulo,Construção galpão  localizado AV. Industrial,6822-6 - Gestão e administração da propriedade imobiliária,4110-7 - Incorporação de empreendimentos imobiliários,Implantação,2019 - 2020,7,13040000.0,2420000.0,5,G,Serviços,1,1,15
48,2020-06-09,2020,3,2020-06-09,MBigucci,M Bigucci Comércio e Empreendimentos Imobiliários,8.47,1.57,Sim,São Bernardo do Campo,RM São Paulo,Construção pátio com 3149 metros quadrados para locação.,6822-6 - Gestão e administração da propriedade imobiliária,4110-7 - Incorporação de empreendimentos imobiliários,Implantação,2020 - 2021,7,8470000.0,1570000.0,3,M,Serviços,1,0,4
49,2020-09-28,2020,3,2020-09-28,Mercedes-Benz,Mercedes-Benz do Brasil,107.0,19.82,Sim,São Bernardo do Campo,RM São Paulo,Inauguração linha de produção de chassis de ônibus,2920-4 - Fabricação de caminhões e ônibus,2920-4 - Fabricação de caminhões e ônibus,Ampliação,2020 - 2020,3,107000000.0,19820000.0,7,GG,Indústria,1,3,17
50,2020-07-07,2020,3,2020-07-07,Tembici,Tembici Participações,248.16,47.0,Sim,São Paulo,RM São Paulo,Ampliação empresa  de serviço de compartilhamento de bicicletas com estações físicas,7721-7 - Aluguel de equipamentos recreativos e esportivos,6462-0 - Holdings de instituições não-financeiras,Ampliação,... - 2020,7,248160000.0,47000000.0,7,GG,Serviços,1,1,16
51,2020-08-07,2020,3,2020-08-07,Infraero,Empresa Brasileira de Infraestrutura Aérea Portuária,11.0,2.08,Sim,São Paulo,RM São Paulo,Reforma pista e a fachada do Aeroporto de Congonhas,5240-1 - Atividades auxiliares dos transportes aéreos,5240-1 - Atividades auxiliares dos transportes aéreos,Ampliação,2020 - 2020,5,11000000.0,2080000.0,5,G,Infraestrutura,1,1,5
52,2020-08-14,2020,3,2020-08-14,Quincho,Quincho Cozinha Coquetelaria,0.01,0.0,Sim,São Paulo,RM São Paulo,Reforma restaurante  tipo cozinha vegetariana descomplicada,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,Ampliação/Modernização,2020 - 2020,7,10000.0,0.0,1,P,Serviços,1,0,14
53,2020-08-26,2020,3,2020-08-26,Instituto Butantan,Fundação Butantan,97.0,17.76,Sim,São Paulo,RM São Paulo,Construção fábrica para a produção 120 milhões de doses de vacinas contra o corona vírus a partir de 2021,2121-1 - Fabricação de medicamentos para uso humano,8690-9 - Atividades de atenção à saúde humana não especificadas anteriormente,Implantação,2020 - 2021,3,97000000.0,17760000.0,5,G,Indústria,1,3,7
54,2020-08-30,2020,3,2020-08-30,B32,Faria Lima Prime Properties,1200.0,219.74,Sim,São Paulo,RM São Paulo,"Inauguração edifício  corporativo, um teatro com capacidade para até 500 pessoas, um restaurante e cafés",6822-6 - Gestão e administração da propriedade imobiliária,6810-2 - Atividades imobiliárias de imóveis próprios,Implantação,2018 - 2020,7,1200000000.0,219740000.0,7,GG,Serviços,1,1,16
55,2020-01-09,2020,3,2020-01-09,Fleury,Fleury,50.0,9.26,Sim,São Paulo,RM São Paulo,"Desenvolvimento plataforma  de um ?marketplace? de serviços ligados à saúde o aplicativo reúne o histórico de saúde dos pacientes, os diagnósticos médicos, evitando repetição de procedimentos",8640-2 - Atividades de serviços de complementação diagnóstica e terapêutica,8640-2 - Atividades de serviços de complementação diagnóstica e terapêutica,Implantação,2019 - 2020,7,50000000.0,9260000.0,5,G,Serviços,1,1,15
56,2020-06-09,2020,3,2020-06-09,MBigucci,M Bigucci Comércio e Empreendimentos Imobiliários,20.71,3.84,Sim,São Paulo,RM São Paulo,Construção galpão destinado para instalação de auto shopping,6822-6 - Gestão e administração da propriedade imobiliária,4110-7 - Incorporação de empreendimentos imobiliários,Implantação,2019 - 2020,7,20710000.0,3840000.0,5,G,Serviços,1,1,15
57,2020-09-18,2020,3,2020-09-18,Tujuína,Bital Restaurantes,0.3,0.06,Sim,São Paulo,RM São Paulo,Inauguração restaurante especializado em peixes e frutos do mar,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,5611-2 - Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas,Implantação,2020 - 2020,7,300000.0,60000.0,1,P,Serviços,1,0,14
58,2020-09-20,2020,3,2020-09-20,Meister Safe,Meister Safe System,0.1,0.02,Sim,São Paulo,RM São Paulo,Abertura empresa para fornecer projetos de aplicação de raios ultravioletas para descontaminação de ambientes,7112-0 - Serviços de engenharia,7112-0 - Serviços de engenharia,Implantação,2020 - 2020,7,100000.0,20000.0,1,P,Serviços,1,0,14
59,2020-05-27,2020,2,2020-05-27,Rumo Logística,Cosan Logística,6000.0,1063.25,Sim,Inter-regionais,Inter-regionais,Ampliação capacidade  de transporte de cargas na  malha ferroviária com a compra de material rodante e manutenção da via permanente com a antecipação da concessão da via,4911-6 - Transporte ferroviário de carga,6462-0 - Holdings de instituições não-financeiras,Ampliação,2020 - 2058,5,6000000000.0,1063250000.0,7,GG,Infraestrutura,3,1,8
60,2020-06-26,2020,2,2020-06-26,Santa Casa de Birigui,I.T.B. Equipamentos Elétricos,0.09,0.02,Sim,Birigui,RA Araçatuba,"Instalação equipamento , cinco unidades de ventiladores mecânicos para atender pacientes que estão em tratamento da covid-19",8610-1 - Atividades de atendimento hospitalar,"2710-4 - Fabricação de geradores, transformadores e motores elétricos",Ampliação,... - 2020,7,90000.0,20000.0,1,P,Serviços,19,0,14
61,2020-05-13,2020,2,2020-05-13,Rede Bom Lugar,Rede Bom Lugar,4.0,0.71,Sim,Indaiatuba,RA Campinas,Inauguração unidade de supermercados,"4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados","4711-3 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados",Implantação,2020 - 2020,1,4000000.0,710000.0,3,M,Comércio,5,2,0
62,2020-03-04,2020,2,2020-03-04,DAE Jundiaí,DAE Água e Esgoto,11.0,2.07,Sim,Jundiaí,RA Campinas,"Ampliação capacidade de tratamento de água, de 1,8 mil litros por segundo para 2,4 mil litros por segundo.","3600-6 - Captação, tratamento e distribuição de água","3600-6 - Captação, tratamento e distribuição de água",Ampliação,2020 - 2021,5,11000000.0,2070000.0,5,G,Infraestrutura,5,1,5
63,2020-03-04,2020,2,2020-03-04,DAE Jundiaí,DAE Água e Esgoto,1.2,0.23,Sim,Jundiaí,RA Campinas,Implantação Estação Pressurizada de água Tratada EPAT,"3600-6 - Captação, tratamento e distribuição de água","3600-6 - Captação, tratamento e distribuição de água",Implantação,2020 - 2020,5,1200000.0,230000.0,3,M,Infraestrutura,5,0,2
64,2020-04-26,2020,2,2020-04-26,Programa Jovem Empreendedor,Serviço de Apoio às Micro e Pequenas Empresas de São Paulo,1.2,0.23,Sim,Jundiaí,RA Campinas,Abertura cursos de capacitação e empreendedorismo disponíveis pelo Sebrae,8599-6 - Atividades de ensino não especificadas anteriormente,7020-4 - Atividades de consultoria em gestão empresarial,Implantação,2020 - 2020,7,1200000.0,230000.0,3,M,Serviços,5,0,4
